foundid,id,name,party,partyLabel,votes,election,electionLabel,ranking
,Q52587398,Órfhlaith Begley,Q76382,Sinn Féin,16544,Q30173038,General election 2019,1
,Q7787999,Thomas Buchanan,Q215519,Democratic Unionist Party,9066,Q30173038,General election 2019,2
,Q22006766,Daniel McCrossan,Q175443,Social Democratic and Labour Party,7330,Q30173038,General election 2019,3
Q76130565,,Stephen Donnelly,Q244927,Alliance Party of Northern Ireland,3979,Q30173038,General election 2019,4
Q76119912,,Andy McKane,Q841045,Ulster Unionist Party,2774,Q30173038,General election 2019,5
Q76120061,,James Hope,Q61090509,Aontú,972,Q30173038,General election 2019,6
Q76119910,,Susan Glass,Q1096979,Green Party in Northern Ireland,521,Q30173038,General election 2019,7
,Q52587398,Órfhlaith Begley,Q76382,Sinn Féin,16346,Q48814827,2018 West Tyrone by-election,1
,Q7787999,Thomas Buchanan,Q215519,Democratic Unionist Party,8390,Q48814827,2018 West Tyrone by-election,2
,Q22006766,Daniel McCrossan,Q175443,Social Democratic and Labour Party,6254,Q48814827,2018 West Tyrone by-election,3
Q98165913,,Chris Smyth,Q841045,Ulster Unionist Party,2909,Q48814827,2018 West Tyrone by-election,4
Q76130565,,Stephen Donnelly,Q244927,Alliance Party of Northern Ireland,1130,Q48814827,2018 West Tyrone by-election,5
,Q4864486,Barry McElduff,Q76382,Sinn Féin,22060,Q25052149,General election 2017,1
,Q7787999,Thomas Buchanan,Q215519,Democratic Unionist Party,11718,Q25052149,General election 2017,2
,Q22006766,Daniel McCrossan,Q175443,Social Democratic and Labour Party,5635,Q25052149,General election 2017,3
,,Alicia Clarke,Q841045,Ulster Unionist Party,2253,Q25052149,General election 2017,4
Q76130565,,Stephen Donnelly,Q244927,Alliance Party of Northern Ireland,1000,Q25052149,General election 2017,5
,,Ciaran McClean,Q1096979,Green Party in Northern Ireland,427,Q25052149,General election 2017,6
,,Barry Brown,Q19903723,CISTA,393,Q25052149,General election 2017,7
,Q300269,Pat Doherty,Q76382,Sinn Féin,16807,Q3586935,General election 2015,1
,Q7787999,Thomas Buchanan,Q215519,Democratic Unionist Party,6747,Q3586935,General election 2015,2
,Q22006766,Daniel McCrossan,Q175443,Social Democratic and Labour Party,6444,Q3586935,General election 2015,3
,Q7369415,Ross Hussey,Q841045,Ulster Unionist Party,6144,Q3586935,General election 2015,4
Q76130565,,Stephen Donnelly,Q244927,Alliance Party of Northern Ireland,869,Q3586935,General election 2015,5
,,Ciaran McClean,Q1096979,Green Party in Northern Ireland,780,Q3586935,General election 2015,6
,,Barry Brown,Q19903723,Cannabis Is Safer Than Alcohol,528,Q3586935,General election 2015,7
,Q95921264,Claire-Louise Leyland,Q7058484,Northern Ireland Conservatives,169,Q3586935,General election 2015,8
,Q20714126,Susan-Anne White,Q327591,Independent politician,166,Q3586935,General election 2015,9
,Q300269,Pat Doherty,Q76382,Sinn Féin,18050,Q215622,General election 2010,1
,Q7787999,Tom Buchanan,Q215519,Democratic Unionist Party,7365,Q215622,General election 2010,2
,Q7369415,Ross Hussey,Q7879942,Ulster Conservatives and Unionists,5281,Q215622,General election 2010,3
,Q6208911,Joe Byrne,Q175443,Social Democratic and Labour Party,5212,Q215622,General election 2010,4
,,Michael Bower,Q244927,Alliance Party of Northern Ireland,859,Q215622,General election 2010,5
,,Ciaran McClean,Q327591,Independent (politician),508,Q215622,General election 2010,6
,Q300269,Pat Doherty,Q76382,Sinn Féin,16910,Q428598,General election 2005,1
,Q6405360,Kieran Deeny,Q327591,Independent politician,11905,Q428598,General election 2005,2
,Q7787999,Tom Buchanan,Q215519,Democratic Unionist Party,7742,Q428598,General election 2005,3
,Q5407530,Eugene McMenamin,Q175443,Social Democratic and Labour Party,3949,Q428598,General election 2005,4
,Q5262066,Derek Hussey,Q841045,Ulster Unionist Party,2981,Q428598,General election 2005,5
,Q300269,Pat Doherty,Q76382,Sinn Féin,19814,Q590740,General election 2001,1
,Q2947124,William John Thompson,Q841045,Ulster Unionist Party,14774,Q590740,General election 2001,2
,Q4981853,Bríd Rodgers,Q175443,Social Democratic and Labour Party,13942,Q590740,General election 2001,3
,Q2947124,William John Thompson,Q841045,Ulster Unionist Party,16003,Q918503,General election 1997,1
,Q6208911,Joe Byrne,Q175443,Social Democratic and Labour Party,14842,Q918503,General election 1997,2
,Q300269,Pat Doherty,Q76382,Sinn Féin,14280,Q918503,General election 1997,3
Q98271717,,Ann Gormley,Q244927,Alliance Party of Northern Ireland,829,Q918503,General election 1997,4
,,Thomas Anthony Owens,Q1860218,Workers' Party of Ireland,230,Q918503,General election 1997,5
,,Robert Andrew Johnstone,Q491782,Natural Law Party,91,Q918503,General election 1997,6
